Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1
81*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2/256,-1,1,16/105,wjm1o2,wjm1o2
-243*(x - 1)**2*(x - 1/3)**2*(x + 1/3)*(x + 1)/256,-1,1,33/280,wjm1o6,wjm1o2
243*(x - 1)**2*(x - 1/3)*(x + 1/3)**2*(x + 1)/256,-1,1,-3/70,wjp1o6,wjm1o2
-81*(x - 1)*(x - 1/3)**2*(x + 1/3)**2*(x + 1)/256,-1,1,19/840,wjp1o2,wjm1o2
-243*(x - 1)**2*(x - 1/3)**2*(x + 1/3)*(x + 1)/256,-1,1,33/280,wjm1o2,wjm1o6
729*(x - 1)**2*(x - 1/3)**2*(x + 1)**2/256,-1,1,27/35,wjm1o6,wjm1o6
-729*(x - 1)**2*(x - 1/3)*(x + 1/3)*(x + 1)**2/256,-1,1,-27/280,wjp1o6,wjm1o6
243*(x - 1)*(x - 1/3)**2*(x + 1/3)*(x + 1)**2/256,-1,1,-3/70,wjp1o2,wjm1o6
243*(x - 1)**2*(x - 1/3)*(x + 1/3)**2*(x + 1)/256,-1,1,-3/70,wjm1o2,wjp1o6
-729*(x - 1)**2*(x - 1/3)*(x + 1/3)*(x + 1)**2/256,-1,1,-27/280,wjm1o6,wjp1o6
729*(x - 1)**2*(x + 1/3)**2*(x + 1)**2/256,-1,1,27/35,wjp1o6,wjp1o6
-243*(x - 1)*(x - 1/3)*(x + 1/3)**2*(x + 1)**2/256,-1,1,33/280,wjp1o2,wjp1o6
-81*(x - 1)*(x - 1/3)**2*(x + 1/3)**2*(x + 1)/256,-1,1,19/840,wjm1o2,wjp1o2
243*(x - 1)*(x - 1/3)**2*(x + 1/3)*(x + 1)**2/256,-1,1,-3/70,wjm1o6,wjp1o2
-243*(x - 1)*(x - 1/3)*(x + 1/3)**2*(x + 1)**2/256,-1,1,33/280,wjp1o6,wjp1o2
81*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/256,-1,1,16/105,wjp1o2,wjp1o2
