Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1,P Term 2
x**2*(1/2 - x/2)*(x - 1)**2/4,-1,1,7/30,psijm1o2p,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2/4,-1,1,1/30,psijp1o2m,phijm1o2,phijm1o2
-x*(1/2 - x/2)*(x - 1)**2*(x + 1)/2,-1,1,2/15,psijm1o2p,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,0,psijp1o2m,phij,phijm1o2
x**2*(1/2 - x/2)*(x - 1)*(x + 1)/4,-1,1,-1/30,psijm1o2p,phijp1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/30,psijp1o2m,phijp1o2,phijm1o2
-x*(1/2 - x/2)*(x - 1)**2*(x + 1)/2,-1,1,2/15,psijm1o2p,phijm1o2,phij
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,0,psijp1o2m,phijm1o2,phij
(1/2 - x/2)*(x - 1)**2*(x + 1)**2,-1,1,8/15,psijm1o2p,phij,phij
(x/2 + 1/2)*(x - 1)**2*(x + 1)**2,-1,1,8/15,psijp1o2m,phij,phij
-x*(1/2 - x/2)*(x - 1)*(x + 1)**2/2,-1,1,0,psijm1o2p,phijp1o2,phij
-x*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,2/15,psijp1o2m,phijp1o2,phij
x**2*(1/2 - x/2)*(x - 1)*(x + 1)/4,-1,1,-1/30,psijm1o2p,phijm1o2,phijp1o2
x**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/30,psijp1o2m,phijm1o2,phijp1o2
-x*(1/2 - x/2)*(x - 1)*(x + 1)**2/2,-1,1,0,psijm1o2p,phij,phijp1o2
-x*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,2/15,psijp1o2m,phij,phijp1o2
x**2*(1/2 - x/2)*(x + 1)**2/4,-1,1,1/30,psijm1o2p,phijp1o2,phijp1o2
x**2*(x/2 + 1/2)*(x + 1)**2/4,-1,1,7/30,psijp1o2m,phijp1o2,phijp1o2
